alternative_count,applications,share
1,42,0.13333333333333333
2,198,0.6285714285714286
3,41,0.13015873015873017
4,19,0.06031746031746032
5,11,0.03492063492063492
6,2,0.006349206349206349
7,2,0.006349206349206349
